Version,Entry.number,Entry.status,Device_Type.name,Device_Model.manufacturer_identifier,Device_Model.model_identifier,Device_Model.hardware_version.version,Device_Model.hardware_version.revision,Device_Model.model_identifier_concatenated_with_hardware_version,Device_Model.firmware_version,SMETS_CHTS Version.Version_number_and_effective_date,GBCS Version.version_number,Manufacturer_Image.hash
Version 2.051 Issued on 21-09-2022,12,Current,Communications Hub,1086,5434,21,52,54342152,000A7100,"CHTS V1.0 ","GBCS Version 1.0 ",7D0A4EFC6D236E6F0F12BBB0B7F8F89CAA94D1353358835991E0CE6CBBF34365
Version 2.051 Issued on 21-09-2022,13,Current,Communications Hub,5401,5731,1,00,57310100,010B0000,"CHTS V1.0 ","GBCS Version 1.0 ",
Version 2.051 Issued on 21-09-2022,14,Current,Communications Hub,106C,4331,0,AC,433100AC,12407768,"CHTS V1.0 ","GBCS Version 1.0 ",2A6C3FBA7AB358292EA0700BEB107DE91550E8480D80DC5DE4DDF24F63BCB524
Version 2.051 Issued on 21-09-2022,15,Removed,Communications Hub,5401,5731,0,01,57310001,010C0000,"CHTS V1.0 ","GBCS Version 1.0 ",ADB20C36DE6093AB689DDF2334A35F6201375592347964F54CE78AF573884201
Version 2.051 Issued on 21-09-2022,16,Current,Communications Hub,5401,5731,1,00,57310100,010C0000,"CHTS V1.0 ","GBCS Version 1.0 ",ADB20C36DE6093AB689DDF2334A35F6201375592347964F54CE78AF573884201
Version 2.051 Issued on 21-09-2022,17,Current,Communications Hub,5401,5731,1,00,57310100,010E0000,"CHTS V1.0 ","GBCS Version 1.0 ",BCA7B4C7461F4F135F22300E602EA7A5F32E8BD86A49A40CA77436ECF3E08101
Version 2.051 Issued on 21-09-2022,18,Current,Communications Hub,1086,5431,NaN,52,54311F52,000A7300,"CHTS V1.0 ","GBCS Version 1.0 ",C8021BD3E6D0E7B61E090ECECBB3C437A7C53F3E4B568C5B1177970D7D7DBD6B
Version 2.051 Issued on 21-09-2022,19,Current,Communications Hub,1086,5432,20,52,54322052,000A7300,"CHTS V1.0 ","GBCS Version 1.0 ",C8021BD3E6D0E7B61E090ECECBB3C437A7C53F3E4B568C5B1177970D7D7DBD6B
Version 2.051 Issued on 21-09-2022,20,Current,Communications Hub,1086,5434,21,52,54342152,000A7300,"CHTS V1.0 ","GBCS Version 1.0 ",C8021BD3E6D0E7B61E090ECECBB3C437A7C53F3E4B568C5B1177970D7D7DBD6B
Version 2.051 Issued on 21-09-2022,21,Current,Single Element Electricity Metering Equipment,1063,0003,2,01,00030201,24010701,"SMETS V2.0 ","GBCS Version 1.0 ",7124FA147A6850B3205D1E4F9CA6B3E820194A7F3B0EB0373BF47EA7F8877C21
Version 2.051 Issued on 21-09-2022,22,Current,Single Element Electricity Metering Equipment,1063,0003,2,01,00030201,24020000,"SMETS V2.0 ","GBCS Version 1.0 ",AF07F1E8895DA5A5AC3846E61C45F6FB5A14105A00F787DE30138A2EFF722142
Version 2.051 Issued on 21-09-2022,23,Removed,Gas Smart Meter,1063,4772,1,01,47720101,03030236,"SMETS V2.0 ","GBCS Version 1.0 ",DDF62A640765028BA5C8412F864EF09D6D0508A90849017D0232F663460200A5
Version 2.051 Issued on 21-09-2022,24,Removed,Communications Hub,106C,4331,0,AC,433100AC,125080E0,"CHTS V1.0 ","GBCS Version 1.0 ",8C83FA493AC03AB2A2CAF1DDA7927496AEDB0EC6E95F9E189EF89B497AE8A5A2
Version 2.051 Issued on 21-09-2022,25,Current,Communications Hub,5401,5731,1,00,57310100,020D0000,"CHTS V1.0 ","GBCS Version 1.0 ",926CB81A16892B3D5865D173B4F1BDC4665F377DBB53940C81368E025BFE7A99
Version 2.051 Issued on 21-09-2022,26,Current,Communications Hub,1086,5431,NaN,52,54311F52,0B150000,"CHTS V1.0 ","GBCS Version 1.0 ",C13D4C1647CA378E249EDA93A1B3EFD125E690D7061D27CF276DC2044C588F36
Version 2.051 Issued on 21-09-2022,27,Current,Communications Hub,1086,5432,20,52,54322052,0B150000,"CHTS V1.0 ","GBCS Version 1.0 ",C13D4C1647CA378E249EDA93A1B3EFD125E690D7061D27CF276DC2044C588F36
Version 2.051 Issued on 21-09-2022,28,Current,Communications Hub,1086,5434,21,52,54342152,0B150000,"CHTS V1.0 ","GBCS Version 1.0 ",C13D4C1647CA378E249EDA93A1B3EFD125E690D7061D27CF276DC2044C588F36
Version 2.051 Issued on 21-09-2022,29,Current,Communications Hub,1086,5431,NaN,52,54311F52,0B160000,"CHTS V1.0 ","GBCS Version 1.0 ",07A0625593BABDC60CB4C7BEE27450919F175AB9DD6C6B1183EFDCB542B25CB6
Version 2.051 Issued on 21-09-2022,30,Current,Communications Hub,1086,5432,20,52,54322052,0B160000,"CHTS V1.0 ","GBCS Version 1.0 ",07A0625593BABDC60CB4C7BEE27450919F175AB9DD6C6B1183EFDCB542B25CB6
Version 2.051 Issued on 21-09-2022,31,Current,Communications Hub,1086,5434,21,52,54342152,0B160000,"CHTS V1.0 ","GBCS Version 1.0 ",07A0625593BABDC60CB4C7BEE27450919F175AB9DD6C6B1183EFDCB542B25CB6
Version 2.051 Issued on 21-09-2022,32,Current,Single Element Electricity Metering Equipment,1063,0003,2,01,00030201,24020200,"SMETS V2.0 ","GBCS Version 1.0 ",788D57D4DD2E02F33EB56ABEF871D5652C209E0B70B46E8742F0EA6FF0D44F9A
Version 2.051 Issued on 21-09-2022,34,Current,Gas Smart Meter,106C,10F1,1,FF,10F101FF,00075100,"SMETS V2.0 ","GBCS Version 1.0 ",008450C87F6A6250C9272C7CE3D8250DF323CA6379398B932004173DC9FCFFB5
Version 2.051 Issued on 21-09-2022,35,Current,Single Element Electricity Metering Equipment,106C,10E1,1,FF,10E101FF,00075100,"SMETS V2.0 ","GBCS Version 1.0 ",866499856881E4A3D9BA4624AC615604BB48E475524ADAFC23E53DB814EC9C08
Version 2.051 Issued on 21-09-2022,36,Removed,Pre-Payment Interface Device,1128,1003,1,02,10030102,80070000,"SMETS V2.0 ","GBCS Version 1.0 ",
Version 2.051 Issued on 21-09-2022,37,Removed,Gas Smart Meter,1063,4772,1,01,47720101,03030239,"SMETS V2.0 ","GBCS Version 1.0 ",6D896C2C96CF733F1B0E3A51A39697F7E4F3BEFACE0DDA37EA64E8AB3E4404E9
Version 2.051 Issued on 21-09-2022,38,Current,Single Element Electricity Metering Equipment,1063,0003,2,01,00030201,24020300,"SMETS V2.0 ","GBCS Version 1.0 ",B5933CC4F3317A143659AB6663CFA4E433A80802ADC1FA9E18EE02AADD1751D5
Version 2.051 Issued on 21-09-2022,39,Current,Pre-Payment Interface Device,10E0,0005,1,00,00050100,00070200,"SMETS V2.0 ","GBCS Version 1.0 ",
Version 2.051 Issued on 21-09-2022,40,Current,Communications Hub,106C,4331,0,AC,433100AC,125083AE,"CHTS V1.0 ","GBCS Version 1.0 ",1E39751CAF2A59E823D65CA8128A8C8737DDF0A39844E908E2939DC0309BAD83
Version 2.051 Issued on 21-09-2022,41,Current,Pre-Payment Interface Device,1090,0007,1,00,00070100,01000000,"SMETS V2.0 ","GBCS Version 1.0 ",
Version 2.051 Issued on 21-09-2022,42,Current,Gas Smart Meter,106C,10F1,1,FF,10F101FF,01000000,"SMETS V2.0 ","GBCS Version 1.0 ",D8580DF05BA5D6B80327446065F4A487730229E0EBB7B17572F83A21890B3F39
Version 2.051 Issued on 21-09-2022,43,Current,Single Element Electricity Metering Equipment,106C,10E1,1,FF,10E101FF,01000000,"SMETS V2.0 ","GBCS Version 1.0 ",02AC30A45ABA2E1C276DBC44E6838F603C9ECAC3ECF1535FA6C85043FC8FA14C
Version 2.051 Issued on 21-09-2022,44,Removed,Single Element Electricity Metering Equipment,118F,0000,0,00,00000000,00040104,"SMETS V2.0 ","GBCS Version 1.0 ",BBADE1962A9EA401D81E857EA4F8E551C80FF3B717920F9539E47410D7E95CA4
Version 2.051 Issued on 21-09-2022,45,Current,Gas Smart Meter,106C,10F1,1,FF,10F101FF,01000100,"SMETS V2.0 ","GBCS Version 1.0 ",1A7CEEB26E76E08FC792D855F289BC2A8BF5108B8395BDBD360ABDF878E9D999
Version 2.051 Issued on 21-09-2022,46,Current,Single Element Electricity Metering Equipment,106C,10E1,1,FF,10E101FF,01000100,"SMETS V2.0 ","GBCS Version 1.0 ",B2409715F6D565D3BDE73CAE71D1539222131F3FD5BC890DD06D77255EC5F147
Version 2.051 Issued on 21-09-2022,47,Current,Single Element Electricity Metering Equipment,106C,10E1,1,FF,10E101FF,01001100,"SMETS V2.0 ","GBCS Version 1.0 ",6C791B76806571D0EA631BFDD364366AEF25FAA6079B11D7E62C662F5F6E28F6
Version 2.051 Issued on 21-09-2022,48,Current,Pre-Payment Interface Device,10E0,0005,1,00,00050100,00070300,"SMETS V2.0 ","GBCS Version 1.0 ",
Version 2.051 Issued on 21-09-2022,49,Current,Pre-Payment Interface Device,1090,0006,2,00,00060200,30910900,"SMETS V2.0 ","GBCS Version 1.0 ",
Version 2.051 Issued on 21-09-2022,50,Current,Pre-Payment Interface Device,1128,0003,1,02,00030102,80070000,"SMETS V2.0 ","GBCS Version 1.0 ",
Version 2.051 Issued on 21-09-2022,51,Current,Single Element Electricity Metering Equipment,106C,10E1,NaN,00,10E1A100,01001400,"SMETS V2.0 ","GBCS Version 1.0 ",8D363CA631F8068C1FAB89FBE5C8826AB149F67D156126F68415DB98A3FB12C9
Version 2.051 Issued on 21-09-2022,52,Current,Gas Smart Meter,106C,10F1,NaN,00,10F1A100,01001400,"SMETS V2.0 ","GBCS Version 1.0 ",56A4B4C03A4924FD70822EA6792C97C281B0BB850716876D50CFE6837E4100FA
Version 2.051 Issued on 21-09-2022,53,Current,Single Element Electricity Metering Equipment,106C,10E1,NaN,00,10E1A100,01001200,"SMETS V2.0 ","GBCS Version 1.0 ",65482AF6BBA484076C540E37C77B33994A836DA175B3A220613B9575AF48425C
Version 2.051 Issued on 21-09-2022,54,Current,Gas Smart Meter,106C,10F1,NaN,00,10F1A100,01001200,"SMETS V2.0 ","GBCS Version 1.0 ",F005B7427349E0A28F205FF2854791E001539E9B681452A56E7E3725ED0788FE
Version 2.051 Issued on 21-09-2022,55,Removed,Gas Smart Meter,1063,4772,1,01,47720101,03030240,"SMETS V2.0 ","GBCS Version 1.0 ",15C6206D4DDFF0E76997AEB704B48B0BCC93592E978D7DE405EA6167A4794027
Version 2.051 Issued on 21-09-2022,56,Current,Communications Hub,1086,5431,NaN,52,54311F52,0B180000,"CHTS V1.0 ","GBCS Version 1.0 ",6293E9C09D56F9BCFE6F8C914E90A0701B4CA71E047A1BCAADFF85C68BCDDF12
Version 2.051 Issued on 21-09-2022,57,Current,Communications Hub,1086,5432,20,52,54322052,0B180000,"CHTS V1.0 ","GBCS Version 1.0 ",6293E9C09D56F9BCFE6F8C914E90A0701B4CA71E047A1BCAADFF85C68BCDDF12
Version 2.051 Issued on 21-09-2022,58,Current,Communications Hub,1086,5434,21,52,54342152,0B180000,"CHTS V1.0 ","GBCS Version 1.0 ",6293E9C09D56F9BCFE6F8C914E90A0701B4CA71E047A1BCAADFF85C68BCDDF12
Version 2.051 Issued on 21-09-2022,59,Current,Pre-Payment Interface Device,10E0,0005,1,00,00050100,00070400,"SMETS V2.0 ","GBCS Version 1.0 ",
Version 2.051 Issued on 21-09-2022,60,Current,Single Element Electricity Metering Equipment,1028,D700,1,03,D7000103,0434041B,"SMETS V2.0 ","GBCS Version 1.0 ",B0D5FFA27496C65B4DD4518C262F9C783BDBDA3C826066EC2302732ABE2CC7F6
Version 2.051 Issued on 21-09-2022,61,Current,Communications Hub,1072,5731,1,00,57310100,02100000,"CHTS V1.0 ","GBCS Version 1.0 ",998371634F0CB19872F6B0C449A613BB9E37D48CD1E2A88E6BF2A859DC8960CB
Version 2.051 Issued on 21-09-2022,62,Removed,Gas Smart Meter,1063,4772,1,01,47720101,03030241,"SMETS V2.0 ","GBCS Version 1.0 ",2EF400432668836803F8FA56AC4CFC75AA47FFD1382AFFB031580F6C7B106829
Version 2.051 Issued on 21-09-2022,63,Current,Single Element Electricity Metering Equipment,106C,10E1,NaN,00,10E1A100,01002100,"SMETS V2.0 ","GBCS Version 1.0 ",C0CF0C6BE373604572432B36C7A7096555246B84605343618387ABC4D873B80C
Version 2.051 Issued on 21-09-2022,64,Current,Gas Smart Meter,106C,10F1,NaN,00,10F1A100,01002100,"SMETS V2.0 ","GBCS Version 1.0 ",26AEEA0662883D01B8C68DC3702C1133C8EF6D1344C19EFA183AB0D15FC5618A
Version 2.051 Issued on 21-09-2022,65,Current,Pre-Payment Interface Device,1090,0007,1,00,00070100,01100000,"SMETS V2.0 ","GBCS Version 1.0 ",
Version 2.051 Issued on 21-09-2022,66,Removed,Single Element Electricity Metering Equipment,118F,0000,0,00,00000000,00040400,"SMETS V2.0 ","GBCS Version 1.0 ",E05FAD7758142A21566926CCD1D77F3CEC6E23EC81BB141B66C1C39F820CD276
Version 2.051 Issued on 21-09-2022,67,Current,Single Element Electricity Metering Equipment,106C,10E1,NaN,00,10E1A100,01002200,"SMETS V2.0 ","GBCS Version 1.0 ",DC5A6B5E804E44CE5AB620EEFF56C6809FBD6672C55C580C1C92156DB2E4AE43
Version 2.051 Issued on 21-09-2022,68,Current,Gas Smart Meter,106C,10F1,NaN,00,10F1A100,01002200,"SMETS V2.0 ","GBCS Version 1.0 ",E328EBFE171B5F699F1262F2E7FEF0157F004351B2D1A4C7AB36D720ACE2685E
Version 2.051 Issued on 21-09-2022,69,Current,Pre-Payment Interface Device,10E0,0005,12,00,00051200,00070500,"SMETS V2.0 ","GBCS Version 1.0 ",
Version 2.051 Issued on 21-09-2022,70,Removed,Single Element Electricity Metering Equipment,106C,10E1,0,A1,10E100A1,01002200,"SMETS V2.0 ","GBCS Version 1.0 ",DC5A6B5E804E44CE5AB620EEFF56C6809FBD6672C55C580C1C92156DB2E4AE43
Version 2.051 Issued on 21-09-2022,71,Removed,Gas Smart Meter,106C,10F1,0,A1,10F100A1,01002200,"SMETS V2.0 ","GBCS Version 1.0 ",E328EBFE171B5F699F1262F2E7FEF0157F004351B2D1A4C7AB36D720ACE2685E
Version 2.051 Issued on 21-09-2022,72,Removed,Single Element Electricity Metering Equipment,106C,10E1,0,A1,10E100A1,01003000,"SMETS V2.0 ","GBCS Version 1.0 ",45DE49341D006F96AE591367C8350ACB4970A1617FB4F14C0D501D26CCE17F14
Version 2.051 Issued on 21-09-2022,73,Current,Single Element Electricity Metering Equipment,1057,0000,1,01,00000101,0121DD7C,"SMETS V2.0 ","GBCS Version 1.0 ",05659B8CBD5EBBFD6EDC472C4BA0A8EB2EDD12698E748882C3650117AB1CDD47
Version 2.051 Issued on 21-09-2022,76,Current,Single Element Electricity Metering Equipment,106C,10E1,NaN,00,10E1A100,01003000,"SMETS V2.0 ","GBCS Version 1.0 ",45DE49341D006F96AE591367C8350ACB4970A1617FB4F14C0D501D26CCE17F14
Version 2.051 Issued on 21-09-2022,77,Current,Single Element Electricity Metering Equipment,106C,10E1,NaN,00,10E1A100,01003100,"SMETS V2.0 ","GBCS Version 1.0 ",DF7D907DDB8BFE54E2DC0B63527DF62D2C55FB38D8FE78C2427EEF213F1A649F
Version 2.051 Issued on 21-09-2022,78,Current,Gas Smart Meter,106C,10F1,NaN,00,10F1A100,01003100,"SMETS V2.0 ","GBCS Version 1.0 ",66FE04C0BEB97D7F7EFB1BD65DECA762C4050E2504A5FDC61B74D851369AD6C5
Version 2.051 Issued on 21-09-2022,79,Removed,Gas Smart Meter,1063,4772,1,01,47720101,03030244,"SMETS V2.0 ","GBCS Version 1.0 ",6321A1551E5F32A882EED00B1F0E2CD8273471A2EE37D916C53FF5F5C9193C0E
Version 2.051 Issued on 21-09-2022,80,Current,Single Element Electricity Metering Equipment,1063,0003,2,01,00030201,24030200,"SMETS V2.0 ","GBCS Version 1.0 ",5AC4FF875C19472074448018E81CB6B1A8566EA44F5E2656C56011B01B6C7E08
Version 2.051 Issued on 21-09-2022,81,Current,Single Element Electricity Metering Equipment,1063,0003,2,01,00030201,24030300,"SMETS V2.0 ","GBCS Version 1.0 ",C800B21852940CD571A46E6785175F7535A2D6EE2B2D276A3E38715F45E7B26D
Version 2.051 Issued on 21-09-2022,82,Current,Gas Smart Meter,1057,0575,0,00,05750000,00020203,"SMETS V2.0 ","GBCS Version 1.0 ",66479EB37880C9F848AF83A2B7EBE7A48BE060083C63ACFF9789ADD9D1067545
Version 2.051 Issued on 21-09-2022,83,Removed,Single Element Electricity Metering Equipment,1125,3132,5,01,31320501,01020096,"SMETS V2.0 ","GBCS Version 1.0 ",22FB1C4C9A5F536A279DA481A7ECE11F398CCBBED486FA9AF387DFB09B2920D5
Version 2.051 Issued on 21-09-2022,84,Current,Single Element Electricity Metering Equipment,106C,10E1,NaN,00,10E1A100,01004200,"SMETS V2.0 ","GBCS Version 1.0 ",EA9BEDBF864A3B0D3BF31A86FF43763034A7AB430523D1D6204915AD7C289789
Version 2.051 Issued on 21-09-2022,85,Current,Single Element Electricity Metering Equipment,1057,0000,1,01,00000101,0123E202,"SMETS V2.0 ","GBCS Version 1.0 ",60F649D6EA49F4D1A7C8674DD7D579076A595A24D8E9DFE079053BE6351516B6
Version 2.051 Issued on 21-09-2022,86,Current,Pre-Payment Interface Device,10E0,0005,12,00,00051200,00080000,"SMETS V2.0 ","GBCS Version 1.0 ",
Version 2.051 Issued on 21-09-2022,87,Current,Communications Hub,106C,4331,0,AC,433100AC,126094D0,"CHTS V1.0 ","GBCS Version 1.0 ",C945C73548DDD77A4C5FF665FBD64F20FD82F7301A26CDA8293151FE8FFB4A30
Version 2.051 Issued on 21-09-2022,88,Current,Single Element Electricity Metering Equipment,1063,0003,2,01,00030201,24030500,"SMETS V2.0 ","GBCS Version 1.0 ",B3357BD522E6C630666A006F0D0EBDD0FE6B9D1C5A74ACDA6F4472A58C03DD60
Version 2.051 Issued on 21-09-2022,89,Current,Single Element Electricity Metering Equipment,106C,10E1,NaN,00,10E1A100,01005000,"SMETS V2.0 ","GBCS Version 1.0 ",5163EEC597245118FD61D1B7195DA7E99FCA34363B261A4E2D8D7B5606B34CE2
Version 2.051 Issued on 21-09-2022,90,Current,Gas Smart Meter,106C,10F1,NaN,00,10F1A100,01005000,"SMETS V2.0 ","GBCS Version 1.0 ",C9EF0A5C21EDD339EB25D62D7CEEFDFE8059EB294287624919305F7C17CE4300
Version 2.051 Issued on 21-09-2022,91,Current,Single Element Electricity Metering Equipment,106C,10E1,NaN,00,10E1A100,01005200,"SMETS V2.0 ","GBCS Version 1.0 ",EC66DE4D5E594BD4D27961E330B6E949B78B3EB3D0931606D3CA127197ABBFF9
Version 2.051 Issued on 21-09-2022,92,Current,Gas Smart Meter,106C,10F1,NaN,00,10F1A100,01005200,"SMETS V2.0 ","GBCS Version 1.0 ",C7D99F65F50BF3BB08B1910625811B8479380219E9C3822BB80D18623C9349DD
Version 2.051 Issued on 21-09-2022,93,Current,Communications Hub,1086,5431,NaN,52,54311F52,0B190000,"CHTS V1.0 ","GBCS Version 1.0 ",2446C7A9D282EF37D5D949E9AA62797AF61D4D32F953C9BB9F3CAC3C356A1292
Version 2.051 Issued on 21-09-2022,94,Current,Communications Hub,1086,5432,20,52,54322052,0B190000,"CHTS V1.0 ","GBCS Version 1.0 ",2446C7A9D282EF37D5D949E9AA62797AF61D4D32F953C9BB9F3CAC3C356A1292
Version 2.051 Issued on 21-09-2022,95,Current,Communications Hub,1086,5434,21,52,54342152,0B190000,"CHTS V1.0 ","GBCS Version 1.0 ",2446C7A9D282EF37D5D949E9AA62797AF61D4D32F953C9BB9F3CAC3C356A1292
Version 2.051 Issued on 21-09-2022,96,Current,Gas Smart Meter,1015,09B3,37,00,09B33700,09030A07,"SMETS V2.0 ","GBCS Version 1.0 ",DD63A0A62CD3BCF46AE47EE9323CF2B353F79721219DB3008BAF59916A7EFD01
Version 2.051 Issued on 21-09-2022,97,Removed,Single Element Electricity Metering Equipment,118F,0000,0,00,00000000,000407FF,"SMETS V2.0 ","GBCS Version 1.1  ",D3ABFD6240EF0BCE403C8B06582E59A8566725F3B0677BCDDC88A8EBFBA2A5BF
Version 2.051 Issued on 21-09-2022,98,Removed,Single Element Electricity Metering Equipment,118F,0000,0,00,00000000,00040800,"SMETS V2.0 ","GBCS Version 1.1  ",5DB1ABF29CBA153223F3F20303A424145C8FF744D248D30F29AC447442775DD1
Version 2.051 Issued on 21-09-2022,99,Current,Single Element Electricity Metering Equipment,106C,10E1,NaN,00,10E1A100,01057200,"SMETS V2.0 ","GBCS Version 1.1 ",CF0C0DD973CC37D25DD4DB688898DD09BF15EA2CE71DA3198E5A2546E360FF55
Version 2.051 Issued on 21-09-2022,100,Current,Gas Smart Meter,106C,10F1,NaN,00,10F1A100,01027200,"SMETS V2.0 ",GBCS Version 1.1,3E7F3DBB5F527CAC69F2D045A428681587E1E91F363DD6A23AABE7C841D7C8CD
Version 2.051 Issued on 21-09-2022,101,Current,Communications Hub,1086,5431,NaN,52,54311F52,0B1B0000,"CHTS V1.0 ","GBCS Version 1.1  ",61A6840556A8558401635E7888ADBDE1C2106616971A00F77376DE68A9FB35BF
Version 2.051 Issued on 21-09-2022,102,Current,Communications Hub,1086,5432,20,52,54322052,0B1B0000,"CHTS V1.0 ","GBCS Version 1.1  ",61A6840556A8558401635E7888ADBDE1C2106616971A00F77376DE68A9FB35BF
Version 2.051 Issued on 21-09-2022,103,Current,Communications Hub,1086,5434,21,52,54342152,0B1B0000,"CHTS V1.0 ","GBCS Version 1.1  ",61A6840556A8558401635E7888ADBDE1C2106616971A00F77376DE68A9FB35BF
Version 2.051 Issued on 21-09-2022,104,Current,Communications Hub,106C,4331,0,AC,433100AC,1260A11E,CHTS V1.0,"GBCS Version 1.1 ",1FA0E033D36E707AF2FD32B5E28FBB17ADC0695BFF320B38F1282E54A815261C
Version 2.051 Issued on 21-09-2022,105,Current,Single Element Electricity Metering Equipment,1063,0003,2,01,00030201,24030600,"SMETS V2.0 ","GBCS Version 1.1 ",693DD440590F4AE39835243EDD0BC3D1F091BB00E8BBB832B6F8CD76CFA6FF89
Version 2.051 Issued on 21-09-2022,106,Current,Single Element Electricity Metering Equipment,1063,0005,2,02,00050202,38010100,"SMETS V2.0 ","GBCS Version 1.1 ",58DB7E3503AE9CEB1B21FB763845B5E18F7E94972BDE33E18E1B487C8DD03E42
Version 2.051 Issued on 21-09-2022,107,Current,Single Element Electricity Metering Equipment,106C,10E1,NaN,00,10E1A100,01005300,"SMETS V2.0 ","GBCS Version 1.1 ",900C6E92EF5180AF7180A06EE59F7589C32FF83C9518D05F0FB7ADC24F523DDB
Version 2.051 Issued on 21-09-2022,108,Current,Gas Smart Meter,1063,4772,1,01,47720101,03030245,"SMETS V2.0 ","GBCS Version 1.1 ",8FFFAEAB6C04F5F11177CD7B1DB000033331C0EAC2C3C5C0BDC0EB575CF345B8
Version 2.051 Issued on 21-09-2022,109,Current,Pre-Payment Interface Device,1090,0007,1,00,00070100,01140000,"SMETS V2.0 ","GBCS Version 1.1 ",
Version 2.051 Issued on 21-09-2022,110,Current,Gas Smart Meter,1057,0575,1,01,05750101,00020205,"SMETS V2.0 ","GBCS Version 1.1  ",D22C64E371D09EC9BDD345C16C2E007DECB36FB1D0BDFCAB4416DF6A540FAC86
Version 2.051 Issued on 21-09-2022,111,Current,Single Element Electricity Metering Equipment,106C,10E1,NaN,00,10E1A100,01058100,"SMETS V2.0 ","GBCS Version 1.1 ",4366D6CCA0C3B57ACD489F9035B368283531040FCA433D78C3608B94360BAE1C
Version 2.051 Issued on 21-09-2022,112,Current,Gas Smart Meter,106C,10F1,NaN,00,10F1A100,01028100,"SMETS V2.0 ",GBCS Version 1.1,890150E9262E0D449C3C7F7D47B95BE1CB4F5F51454160B6CC6EE4280C8D5937
Version 2.051 Issued on 21-09-2022,113,Current,Single Element Electricity Metering Equipment,1063,0005,2,02,00050202,38030600,"SMETS V2.0 ","GBCS Version 1.1 ",6E0F94A27362EBC9BCA98DC681CD035EC1C291B5AB423D3369FBC329487B46DE
Version 2.051 Issued on 21-09-2022,114,Current,Pre-Payment Interface Device,10E0,0005,12,00,00051200,00080100,"SMETS V2.0 ","GBCS Version 1.1 ",
Version 2.051 Issued on 21-09-2022,115,Current,Single Element Electricity Metering Equipment,1063,0003,2,01,00030201,24030700,"SMETS V2.0 ","GBCS Version 1.1 ",D2B9B4E53CD86FA31003708F329744E8D6007414F77195337D9F6E0868C1AD71
Version 2.051 Issued on 21-09-2022,116,Current,Gas Smart Meter,1015,09B3,37,00,09B33700,09030A07,"SMETS V2.0 ",GBCS Version 1.1,DD63A0A62CD3BCF46AE47EE9323CF2B353F79721219DB3008BAF59916A7EFD01
Version 2.051 Issued on 21-09-2022,117,Current,Single Element Electricity Metering Equipment,106C,10E1,NaN,00,10E1A100,01058200,"SMETS V2.0 ","GBCS Version 1.1 ",6B8A6A42A25DEC60D7B657112A87BDCA267B57956B8A486AC9BBE775649C0F08
